MSSubClass,LotArea,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,MoSold,SaleCondition,SalePrice
70,9906,Norm,1Fam,2Story,4,4,686,N,810,518,1328,0,0,1,0,3,8,0,1,210,9,Family,107000
50,15660,Norm,1Fam,1.5Fin,7,9,798,Y,1137,817,1954,0,1,1,1,3,8,2,2,431,5,Normal,311500
120,3010,Norm,TwnhsE,1Story,7,5,1248,Y,1248,0,1248,0,0,2,0,2,5,0,2,438,3,Partial,167240
20,8990,Norm,1Fam,1Story,7,5,1498,Y,1498,0,1498,0,0,2,0,2,5,0,2,675,4,Partial,204900
60,8068,Norm,1Fam,2Story,6,5,1010,Y,1010,1257,2267,0,0,2,1,4,8,1,2,390,12,Normal,200000
60,11475,RRAn,1Fam,2Story,6,6,713,Y,811,741,1552,1,0,2,1,3,6,1,2,434,2,Normal,179900
20,10500,Norm,1Fam,1Story,4,6,864,Y,864,0,864,0,0,1,0,2,4,0,2,576,3,Abnorml,97000
20,13472,Norm,1Fam,1Story,10,5,2392,Y,2392,0,2392,0,0,2,0,3,8,1,3,968,6,Normal,386250
160,1680,Norm,Twnhs,2Story,5,5,630,Y,630,672,1302,0,0,2,1,3,6,0,1,280,5,Abnorml,112000
60,9950,Norm,1Fam,2Story,7,5,1203,Y,1214,1306,2520,0,0,2,1,4,9,1,3,721,6,Abnorml,290000
160,1869,Norm,Twnhs,2Story,6,6,483,Y,483,504,987,0,0,1,1,2,5,0,1,280,9,Normal,106000
20,8521,Feedr,1Fam,1Story,5,5,912,Y,912,0,912,0,0,1,0,3,5,1,1,336,5,Normal,125000
120,3182,Norm,TwnhsE,1Story,7,5,1373,Y,1555,0,1555,0,0,2,0,2,7,1,2,430,5,Normal,192500
20,8760,Norm,1Fam,1Story,6,6,1194,Y,1194,0,1194,1,0,1,0,3,6,0,1,312,4,Normal,148000
60,15138,Norm,1Fam,2Story,8,5,1462,Y,1490,1304,2794,1,0,2,1,4,9,1,3,810,7,Normal,403000
160,1680,Norm,Twnhs,2Story,6,5,483,Y,483,504,987,0,0,1,1,2,5,1,1,288,6,Normal,94500
20,10650,Norm,1Fam,1Story,5,6,894,Y,894,0,894,1,0,1,0,3,5,0,1,308,2,Normal,128200
60,7851,Norm,1Fam,2Story,6,5,860,Y,860,1100,1960,1,0,2,1,4,8,2,2,440,5,Normal,216500
160,1680,Norm,TwnhsE,2Story,6,3,483,Y,483,504,987,0,0,1,1,2,5,0,1,264,8,Normal,89500
20,8773,Norm,1Fam,1Story,7,5,1414,Y,1414,0,1414,0,0,2,0,3,6,0,2,494,5,Normal,185500
60,9453,RRNe,1Fam,2Story,7,7,996,Y,1014,730,1744,0,0,2,1,3,7,0,2,457,2,Normal,194500
20,12030,Norm,1Fam,1Story,8,5,1694,Y,1694,0,1694,0,0,2,0,3,7,0,3,818,12,Partial,318000
50,8741,Norm,1Fam,1.5Fin,6,4,735,Y,798,689,1487,0,0,1,1,3,7,1,1,220,4,Normal,113000
20,9000,Norm,1Fam,1Story,8,5,1566,Y,1566,0,1566,1,0,2,0,3,7,0,2,750,4,Normal,262500
30,3880,Norm,1Fam,1Story,5,9,686,Y,866,0,866,0,0,1,0,2,4,0,0,0,8,Normal,110500
50,5000,Norm,1Fam,1.5Fin,5,4,540,N,889,551,1440,0,0,1,0,3,6,0,1,352,4,Normal,79000
160,10762,Norm,TwnhsE,2Story,6,6,626,Y,626,591,1217,0,0,1,1,3,6,1,1,288,4,Normal,120000
60,8880,Norm,1Fam,2Story,7,5,948,Y,1222,888,2110,1,0,2,1,3,8,2,2,463,5,Normal,205000
20,10400,Norm,1Fam,1Story,7,5,1845,Y,1872,0,1872,0,1,2,0,3,6,1,2,604,6,Normal,241500
190,9142,Norm,2fmCon,2Story,6,8,1020,N,908,1020,1928,0,0,2,0,4,9,0,1,440,4,Normal,137000
20,11310,Norm,1Fam,1Story,6,5,1367,Y,1375,0,1375,0,0,1,0,2,5,1,2,451,6,Normal,140000
60,11317,Norm,1Fam,2Story,7,5,840,Y,840,828,1668,0,0,2,1,3,8,0,2,500,9,Normal,180000
50,159000,Norm,1Fam,1.5Fin,6,7,1444,Y,1444,700,2144,0,1,2,0,4,7,2,2,389,6,Normal,277000
30,5350,Norm,1Fam,1Story,3,2,728,Y,1306,0,1306,0,0,1,0,3,6,0,0,0,5,Normal,76500
120,4750,Norm,TwnhsE,1Story,8,5,1573,Y,1625,0,1625,1,1,2,0,2,5,1,2,538,12,Family,235000
60,8366,Norm,1Fam,2Story,6,5,798,Y,798,842,1640,0,0,2,1,3,6,0,2,520,12,Normal,173000
80,9350,Norm,1Fam,SLvl,6,7,1302,Y,1302,0,1302,0,1,2,0,3,7,0,1,309,10,Normal,158000
20,8400,Norm,1Fam,1Story,5,6,1314,Y,1314,0,1314,1,0,1,0,3,5,0,1,294,6,Normal,145000
60,8738,Norm,1Fam,2Story,7,5,975,Y,1005,1286,2291,0,0,2,1,4,8,1,2,429,2,Normal,230000
60,8791,Norm,1Fam,2Story,6,5,864,Y,864,864,1728,0,0,2,1,3,7,0,2,673,5,Normal,207500
20,8814,Norm,1Fam,1Story,7,5,1604,Y,1604,0,1604,1,0,2,1,3,8,1,2,660,3,Abnorml,220000
60,12435,Norm,1Fam,2Story,7,5,963,Y,963,829,1792,0,0,2,1,3,7,1,2,564,5,Normal,231500
20,12702,Norm,1Fam,1Story,5,5,0,Y,882,0,882,0,0,1,0,2,4,0,1,308,12,Normal,97000
80,19296,Artery,1Fam,SLvl,6,5,1362,Y,1382,0,1382,1,0,1,0,3,6,1,2,884,5,Normal,176000
60,9588,Norm,1Fam,2Story,8,5,1482,Y,1482,1092,2574,0,0,2,1,3,10,1,3,868,11,Partial,276000
80,8471,Norm,1Fam,SLvl,6,7,506,Y,1212,0,1212,1,0,1,0,3,6,1,2,492,7,Normal,151000
50,5500,Norm,1Fam,1.5Fin,5,7,926,Y,926,0,1316,1,0,1,0,3,6,0,2,484,4,Normal,130000
30,5232,Artery,1Fam,1Story,5,5,680,N,764,0,764,0,0,1,0,2,4,0,2,504,6,Normal,73000
20,12090,Norm,1Fam,1Story,6,6,1422,Y,1422,0,1422,0,0,2,0,3,7,1,2,576,6,Normal,175500
60,11207,Norm,1Fam,2Story,6,5,802,Y,802,709,1511,1,0,2,1,3,8,1,2,413,6,Normal,185000
75,8400,Norm,1Fam,2.5Fin,5,8,720,Y,1052,720,2192,0,0,2,1,4,8,1,1,240,7,Normal,179500
30,6900,Norm,1Fam,1Story,5,6,740,Y,778,0,778,0,0,1,0,2,4,1,1,924,2,Normal,120500
20,7917,Norm,1Fam,1Story,6,7,1143,Y,1113,0,1113,1,0,1,1,3,6,1,1,504,5,Normal,148000
60,10728,Norm,1Fam,2Story,8,5,1095,Y,1095,844,1939,0,0,2,1,3,8,1,3,1053,8,Partial,266000
20,39104,Norm,1Fam,1Story,7,7,1385,Y,1363,0,1363,1,0,1,0,2,5,2,2,439,4,Normal,241500
60,11764,Norm,1Fam,2Story,8,7,1152,Y,1164,1106,2270,0,0,2,1,4,9,1,3,671,4,Normal,290000
20,9600,Feedr,1Fam,1Story,6,6,1240,Y,1632,0,1632,1,0,2,0,3,6,1,1,338,4,Normal,139000
20,8314,Norm,1Fam,1Story,5,7,816,Y,816,0,816,0,0,1,0,2,5,0,1,264,6,Normal,124500
50,7264,Norm,1Fam,1.5Fin,7,7,952,N,952,596,1548,0,0,2,1,3,5,0,2,672,10,Normal,205000
20,9196,Norm,1Fam,1Story,7,5,1560,Y,1560,0,1560,0,0,2,0,3,7,0,2,573,4,Normal,201000
20,19138,Norm,1Fam,1Story,4,5,864,Y,864,0,864,0,0,1,0,2,4,0,2,400,6,Normal,141000
20,14450,Norm,1Fam,1Story,9,5,2121,Y,2121,0,2121,0,0,2,1,3,8,1,3,732,5,Partial,415298
60,10005,Norm,1Fam,2Story,7,5,1160,Y,1156,866,2022,0,0,2,1,4,8,1,2,505,3,Normal,192000
60,11287,Norm,1Fam,2Story,7,6,807,Y,1175,807,1982,0,0,2,1,3,7,1,2,575,1,Normal,228500
20,7200,Norm,1Fam,1Story,6,5,1262,Y,1262,0,1262,0,0,2,0,2,5,0,2,572,5,Partial,185000
120,5063,Norm,Twnhs,1Story,7,5,1314,Y,1314,0,1314,1,0,2,0,2,6,1,2,626,4,Normal,207500
20,9612,Feedr,1Fam,1Story,8,5,1468,Y,1468,0,1468,0,0,2,0,3,6,1,3,898,12,Partial,244600
120,8012,Norm,TwnhsE,1Story,6,5,1575,Y,1575,0,1575,1,0,2,0,2,5,0,2,529,7,Normal,179200
160,4251,Norm,TwnhsE,2Story,7,5,625,Y,625,625,1250,0,0,2,1,2,5,0,2,528,6,Partial,164700
50,9786,Norm,1Fam,1.5Fin,6,7,912,Y,1085,649,1734,0,0,1,1,3,7,1,2,440,6,Normal,159000
20,8125,Norm,1Fam,1Story,4,4,858,Y,858,0,858,0,0,1,0,3,5,0,0,0,6,Normal,88000
20,9819,Norm,1Fam,1Story,5,5,882,Y,900,0,900,0,0,1,0,3,5,0,1,280,2,Normal,122000
70,8730,RRAn,1Fam,2Story,6,7,698,Y,698,698,1396,0,0,1,0,3,7,0,1,384,7,Normal,153575
60,15611,Norm,1Fam,2Story,8,5,1079,Y,1079,840,1919,0,0,2,1,3,8,1,2,685,7,Partial,233230
190,5687,Norm,2fmCon,2Story,5,6,780,N,936,780,1716,1,0,2,0,6,9,0,0,0,3,Normal,135900
50,11409,Norm,1Fam,1.5Fin,5,4,768,Y,1148,568,1716,0,0,1,1,3,8,1,1,281,1,Normal,131000
60,16659,PosA,1Fam,2Story,7,7,795,Y,1468,795,2263,1,0,2,1,3,9,1,2,539,3,Normal,235000
20,9600,Norm,1Fam,1Story,6,5,1416,Y,1644,0,1644,1,0,1,0,3,7,2,2,418,10,Normal,167000
80,7937,Norm,1Fam,SLvl,6,6,1003,Y,1003,0,1003,1,0,1,0,3,6,0,2,588,3,Normal,142500
50,13710,Norm,1Fam,1.5Fin,5,5,910,Y,910,648,1558,0,0,1,1,4,6,0,1,282,6,Normal,152000
60,7399,Norm,1Fam,2Story,7,5,975,Y,975,975,1950,0,0,2,1,3,7,1,2,576,6,Normal,239000
60,11700,Norm,1Fam,2Story,6,6,702,Y,1041,702,1743,0,1,1,2,3,7,1,2,539,6,Normal,175000
20,14000,Norm,1Fam,1Story,6,8,1092,Y,1152,0,1152,0,1,1,0,3,6,1,1,300,8,Family,158500
190,15750,Norm,2fmCon,1Story,5,5,1165,Y,1336,0,1336,1,0,1,0,2,5,2,1,375,6,Normal,157000
60,16226,Norm,1Fam,2Story,8,5,1028,Y,1210,1242,2452,0,0,2,1,4,9,1,2,683,5,Normal,267000
20,13704,Norm,1Fam,1Story,7,5,1541,Y,1541,0,1541,0,0,2,0,3,6,1,3,843,1,Normal,205000
20,9800,Norm,1Fam,1Story,5,7,894,Y,894,0,894,1,0,1,0,3,5,0,2,552,7,Abnorml,149900
75,18386,Norm,1Fam,2.5Fin,7,9,1470,Y,1675,1818,3493,0,0,3,0,3,10,1,3,870,5,Normal,295000
20,10386,Norm,1Fam,1Story,8,5,2000,Y,2000,0,2000,1,0,2,0,3,8,0,3,888,7,Normal,305900
60,13474,Feedr,1Fam,2Story,7,5,700,Y,1122,1121,2243,1,0,2,1,4,8,1,3,746,6,Normal,225000
50,7920,Artery,1Fam,1.5Fin,6,7,319,Y,1035,371,1406,0,0,1,0,3,6,0,0,0,3,Normal,89500
30,12342,Norm,1Fam,1Story,4,5,861,Y,861,0,861,0,0,1,0,1,4,0,2,539,3,Normal,82500
20,12378,Norm,1Fam,1Story,9,5,1896,Y,1944,0,1944,1,0,2,0,3,8,3,3,708,11,Normal,360000
60,7685,Norm,1Fam,2Story,6,5,697,Y,697,804,1501,0,0,2,1,3,6,1,2,420,5,Normal,165600
20,8000,Norm,1Fam,1Story,6,6,972,Y,972,0,972,1,0,1,0,2,5,1,1,240,5,Normal,132000
190,7800,Artery,2fmCon,1.5Fin,5,7,793,Y,793,325,1118,1,0,1,0,3,5,1,2,410,5,Normal,119900
20,215245,Norm,1Fam,1Story,7,5,2136,Y,2036,0,2036,2,0,2,0,3,8,2,2,513,6,Normal,375000
70,9600,Norm,1Fam,2Story,7,7,728,Y,832,809,1641,0,1,1,1,3,6,1,2,546,8,Normal,178000
60,7795,Norm,1Fam,2Story,7,5,716,Y,716,716,1432,1,0,2,1,3,6,1,2,432,7,Normal,188500
60,13005,Norm,1Fam,2Story,7,7,845,Y,1153,1200,2353,1,0,2,1,4,10,1,2,484,8,Normal,260000
60,9000,Norm,1Fam,2Story,8,5,1088,Y,1088,871,1959,0,0,2,1,3,8,1,3,1025,12,Normal,270000
60,9900,Norm,1Fam,2Story,7,5,1347,Y,1372,1274,2646,1,0,2,1,4,9,1,3,656,4,Normal,260000
80,14115,Norm,1Fam,SLvl,7,5,1372,Y,1472,0,1472,1,0,2,0,3,6,2,2,588,6,Normal,187500
60,16259,Norm,1Fam,2Story,9,5,1249,Y,1249,1347,2596,0,0,3,1,4,9,0,3,840,9,Partial,342643
60,12099,Norm,1Fam,2Story,8,5,1136,Y,1136,1332,2468,1,0,2,1,4,10,1,3,872,6,Normal,354000
60,10380,Norm,1Fam,2Story,7,5,1502,Y,1553,1177,2730,1,0,2,1,4,8,1,2,576,8,Normal,301000
20,5820,Norm,1Fam,1Story,3,8,1162,Y,1163,0,1163,1,0,1,0,3,6,0,1,220,7,Normal,126175
80,11275,PosN,1Fam,SLvl,7,7,710,Y,1898,1080,2978,0,0,2,1,5,11,1,2,564,6,Normal,242000
45,5000,RRAe,1Fam,1.5Unf,5,6,720,N,803,0,803,0,0,1,0,2,5,0,2,360,12,Normal,87000
120,10846,Norm,TwnhsE,1Story,8,5,1719,Y,1719,0,1719,2,0,1,1,1,6,2,2,473,5,Normal,324000
20,11600,Norm,1Fam,1Story,6,5,1383,Y,1383,0,1383,0,0,1,1,3,7,0,1,292,4,Normal,145250
75,11888,PosN,1Fam,2.5Unf,6,6,844,N,1445,689,2134,0,0,2,0,5,10,0,2,441,7,Normal,214500
70,6402,Norm,1Fam,2Story,5,5,596,N,596,596,1192,0,0,1,0,3,6,0,1,189,7,Normal,78000
90,10624,Norm,Duplex,1Story,5,4,1728,Y,1728,0,1728,0,1,2,0,6,10,0,1,352,11,Normal,119000
20,8176,Norm,1Fam,1Story,5,6,1056,Y,1056,0,1056,1,0,1,0,3,6,0,1,308,8,Normal,139000
20,10655,Norm,1Fam,1Story,8,5,3206,Y,1629,0,1629,1,0,2,0,3,7,1,3,880,10,Normal,284000
120,8198,Norm,TwnhsE,1Story,7,5,1358,Y,1358,0,1358,1,0,2,0,2,6,1,2,484,7,Normal,207000
60,9042,Norm,1Fam,2Story,6,5,943,Y,943,695,1638,1,0,2,1,3,7,2,2,472,7,Normal,192000
190,164660,Norm,2fmCon,1.5Fin,5,6,1499,Y,1619,167,1786,2,0,2,0,3,7,2,2,529,8,Normal,228950
20,14157,Norm,1Fam,1Story,9,5,1922,Y,1922,0,1922,1,0,2,0,3,8,1,3,676,7,Normal,377426
20,9135,Norm,1Fam,1Story,7,5,1536,Y,1536,0,1536,1,0,2,0,3,7,0,2,532,12,Normal,214000
20,14145,Norm,1Fam,1Story,7,7,1208,Y,1621,0,1621,1,0,2,0,3,8,0,2,440,5,Normal,202500
20,12400,Feedr,1Fam,1Story,6,7,1215,Y,1215,0,1215,0,0,1,0,3,6,0,1,297,6,Normal,155000
60,14191,Norm,1Fam,2Story,8,5,967,Y,993,915,1908,0,0,2,1,4,9,0,2,431,4,Normal,202900
20,8400,Feedr,1Fam,1Story,4,4,721,Y,841,0,841,0,0,1,0,2,4,0,1,294,9,Normal,82000
90,8544,Norm,Duplex,1Story,3,4,0,N,1040,0,1040,0,0,2,0,2,6,0,2,400,5,Normal,87500
120,8849,Norm,TwnhsE,1Story,9,5,1684,Y,1684,0,1684,0,0,2,0,2,6,1,2,564,7,Normal,266000
160,2592,Norm,TwnhsE,2Story,5,3,536,Y,536,576,1112,0,0,1,1,3,4,0,1,336,4,Normal,85000
50,6435,RRAn,1Fam,1.5Fin,6,5,972,Y,972,605,1577,0,0,1,0,3,6,1,1,312,10,Normal,140200
20,12772,Norm,1Fam,1Story,6,8,958,Y,958,0,958,0,0,1,0,2,5,0,1,301,4,Normal,151500
20,17600,Norm,1Fam,1Story,6,5,1478,Y,1478,0,1478,1,0,2,0,3,6,2,2,498,12,Normal,157500
160,2448,Norm,Twnhs,2Story,7,5,764,Y,764,862,1626,1,0,2,1,2,6,0,2,474,10,Normal,154000
60,20431,Norm,1Fam,2Story,9,5,1848,Y,1848,880,2728,1,0,2,1,4,10,2,3,706,4,Partial,437154
120,7820,Norm,TwnhsE,1Story,9,5,1869,Y,1869,0,1869,0,0,2,0,2,6,1,2,617,12,Partial,318061
120,5271,Norm,1Fam,1Story,7,5,1453,Y,1453,0,1453,1,0,1,1,2,6,1,2,445,12,Abnorml,190000
50,9084,Artery,1Fam,1.5Fin,5,6,616,N,616,495,1111,0,1,1,0,3,5,0,1,200,3,Normal,95000
30,8520,Norm,1Fam,1Story,6,8,624,Y,720,0,720,0,0,1,0,2,5,0,2,484,5,Normal,105900
50,8400,Norm,1Fam,1.5Fin,6,5,940,Y,1192,403,1595,0,0,1,0,2,6,2,1,240,6,Normal,140000
20,11249,Norm,1Fam,1Story,6,5,1200,Y,1200,0,1200,1,0,2,0,3,6,0,2,521,8,Normal,177500
20,9248,Norm,1Fam,1Story,6,6,1158,Y,1167,0,1167,1,0,2,0,3,6,0,2,400,7,Normal,173000
120,4224,Norm,TwnhsE,1Story,5,5,1142,Y,1142,0,1142,1,0,1,1,3,6,1,2,528,8,Normal,134000
80,6930,Norm,1Fam,SLvl,5,4,1062,Y,1352,0,1352,0,1,1,0,3,6,0,1,288,7,Abnorml,130000
60,12011,Norm,1Fam,2Story,8,5,1086,Y,1086,838,1924,1,0,2,1,3,7,1,2,592,6,Normal,280000
85,7540,Norm,1Fam,SFoyer,6,6,888,Y,912,0,912,1,0,1,0,2,5,1,2,470,6,Normal,156000
50,9144,Norm,1Fam,1.5Fin,5,5,883,Y,988,517,1505,1,0,1,0,3,8,0,1,240,7,Normal,145000
85,7301,Norm,1Fam,SFoyer,7,5,0,Y,495,1427,1922,0,0,3,0,4,7,1,2,672,7,Normal,198500
160,1680,Norm,Twnhs,2Story,6,8,483,Y,483,504,987,0,0,1,1,2,5,0,1,264,5,Normal,118000
60,18800,Norm,1Fam,2Story,6,5,796,Y,790,784,1574,1,0,2,1,3,6,1,2,566,7,Normal,190000
70,10690,Norm,1Fam,2Story,5,7,672,Y,672,672,1344,0,0,1,0,3,6,0,1,468,7,Normal,147000
20,9500,Norm,1Fam,1Story,6,5,1394,Y,1394,0,1394,1,0,1,1,3,6,2,2,514,7,Normal,159000
80,9150,Norm,1Fam,SLvl,6,5,1099,Y,1431,0,1431,0,1,1,0,3,6,1,1,296,12,Normal,165000
20,7800,Norm,1Fam,1Story,5,6,1268,Y,1268,0,1268,0,0,1,0,2,7,1,1,244,3,Normal,132000
20,9830,Norm,1Fam,1Story,5,7,1063,Y,1287,0,1287,1,0,1,0,3,7,1,2,576,3,Normal,162000
60,8121,Norm,1Fam,2Story,6,5,953,Y,953,711,1664,0,0,2,1,3,7,1,2,460,1,Normal,172400
50,17120,Feedr,1Fam,1.5Fin,4,4,0,Y,1120,468,1588,0,0,2,0,4,7,1,2,680,7,Normal,134432
120,7175,Norm,TwnhsE,1Story,6,5,744,Y,752,0,752,1,0,1,0,2,4,0,1,264,2,Normal,125000
20,10634,Norm,1Fam,1Story,5,6,608,Y,1319,0,1319,1,0,1,0,3,5,0,1,270,11,Normal,123000
60,8200,Norm,1Fam,2Story,7,5,847,Y,847,1081,1928,0,0,2,1,4,8,1,2,434,7,Normal,219500
30,10020,Norm,1Fam,1Story,1,1,683,N,904,0,904,1,0,0,1,1,4,0,0,0,3,Normal,61000
85,8846,Norm,1Fam,SFoyer,5,5,870,Y,914,0,914,0,0,1,0,2,5,0,2,576,7,Normal,148000
60,11143,Norm,1Fam,2Story,8,5,1580,Y,1580,886,2466,0,0,3,0,4,8,1,2,610,12,Normal,340000
20,11394,Norm,1Fam,1Story,9,2,1856,Y,1856,0,1856,1,0,1,1,1,8,1,3,834,6,Partial,394432
60,8123,RRAn,1Fam,2Story,6,5,982,Y,1007,793,1800,0,0,2,1,3,7,1,2,463,6,Normal,179000
50,5000,Norm,1Fam,1.5Fin,5,6,1026,Y,1026,665,1691,0,0,2,0,3,6,1,1,308,5,Normal,127000
20,7200,Norm,1Fam,1Story,7,5,1293,Y,1301,0,1301,1,0,2,0,2,5,1,2,572,8,Partial,187750
60,9245,Norm,1Fam,2Story,7,5,939,Y,939,858,1797,0,0,2,1,3,8,0,2,639,4,Normal,213500
45,9000,Norm,1Fam,1.5Unf,6,3,784,N,784,0,784,0,0,1,0,2,5,0,2,360,10,Normal,76000
60,53107,Feedr,1Fam,2Story,6,5,1580,Y,1079,874,1953,1,0,2,1,3,9,2,2,501,6,Normal,240000
120,3182,Norm,TwnhsE,1Story,8,5,1256,Y,1269,0,1269,0,0,2,0,2,6,1,2,430,4,Normal,192000
50,8410,Feedr,1Fam,1.5Fin,5,3,658,Y,658,526,1184,0,0,1,0,5,8,0,0,0,5,AdjLand,81000
80,7200,Norm,1Fam,SLvl,6,6,1041,Y,1125,0,1125,1,0,1,0,3,6,1,1,352,10,Abnorml,125000
20,9382,Norm,1Fam,1Story,7,5,1468,Y,1479,0,1479,0,0,2,0,3,6,0,2,577,7,Normal,191000
60,12474,Norm,1Fam,2Story,10,5,1682,Y,1742,590,2332,1,0,2,1,3,9,1,3,846,8,Partial,426000
50,8405,Norm,1Fam,1.5Fin,5,8,861,Y,961,406,1367,1,0,1,0,4,7,0,1,384,4,Normal,119000
60,12209,Norm,1Fam,2Story,6,5,804,Y,804,1157,1961,1,0,2,1,3,7,1,2,560,6,Normal,215000
20,8339,Norm,1Fam,1Story,5,7,0,Y,882,0,882,0,0,1,0,3,5,0,1,294,7,Normal,106500
30,7446,Feedr,1Fam,1Story,4,5,788,Y,788,0,788,0,0,1,0,2,4,2,0,0,4,Abnorml,100000
50,10134,Norm,1Fam,1.5Fin,5,6,735,Y,735,299,1034,0,0,1,0,2,5,0,1,240,7,Normal,109000
20,9571,Norm,1Fam,1Story,5,6,1144,Y,1144,0,1144,1,0,1,0,3,6,0,1,596,6,Normal,129000
20,7200,Norm,1Fam,1Story,5,5,894,Y,894,0,894,0,0,1,0,2,6,0,2,600,9,Normal,123000
60,7590,PosN,1Fam,2Story,5,5,864,Y,876,936,1812,0,0,2,0,4,8,1,1,264,7,Normal,169500
30,8967,Norm,1Fam,1Story,5,2,961,Y,1077,0,1077,0,0,1,0,2,6,0,1,338,11,Abnorml,67000
60,8125,Norm,1Fam,2Story,7,5,1092,Y,1112,438,1550,1,0,2,0,2,7,0,2,438,10,Normal,241000
120,14963,Norm,TwnhsE,1Story,8,5,1260,Y,1288,0,1288,1,0,1,1,1,4,2,2,500,12,Normal,245500
20,8767,Norm,1Fam,1Story,7,5,1310,Y,1310,0,1310,0,0,2,0,3,6,1,2,400,7,Partial,164990
30,10200,Norm,1Fam,1Story,5,8,672,Y,672,0,672,0,0,1,0,2,4,0,1,240,8,Normal,108000
60,12090,Norm,1Fam,2Story,8,5,1141,Y,1165,1098,2263,0,0,2,1,4,10,1,2,420,7,Abnorml,258000
60,10364,Norm,1Fam,2Story,6,5,806,Y,806,766,1572,0,0,2,1,3,7,1,2,373,5,Normal,168000
20,9991,Feedr,1Fam,1Story,4,4,1281,Y,1620,0,1620,1,0,2,0,3,8,1,2,490,6,Normal,150000
50,10480,Norm,1Fam,1.5Fin,6,5,1064,Y,1166,0,1639,0,0,1,0,3,6,0,1,240,3,Normal,115000
70,15576,Norm,1Fam,2Story,6,7,840,Y,840,840,1680,0,0,2,0,4,8,0,1,308,3,Normal,177000
60,14154,Norm,1Fam,2Story,7,5,1063,Y,1071,1101,2172,0,0,2,1,3,9,1,3,947,8,Partial,280000
60,10800,Norm,1Fam,2Story,8,5,1034,Y,1050,1028,2078,1,0,2,1,3,8,1,3,836,4,Partial,339750
20,9571,Norm,1Fam,1Story,5,3,1276,Y,1276,0,1276,0,0,1,0,3,5,0,1,350,6,Abnorml,60000
190,34650,Norm,2fmCon,1Story,5,5,1056,N,1056,0,1056,1,0,1,0,3,5,0,2,572,1,Normal,145000
20,4403,Norm,1Fam,1Story,7,5,1470,Y,1478,0,1478,1,0,2,1,2,7,1,2,484,6,Partial,222000
30,8960,Artery,1Fam,1Story,5,6,1008,Y,1028,0,1028,0,0,1,0,2,5,1,2,360,3,Normal,115000
60,11228,Norm,1Fam,2Story,7,5,1080,Y,1080,1017,2097,0,1,2,1,3,9,1,3,678,12,Normal,228000
20,8899,Norm,1Fam,1Story,7,5,1340,Y,1340,0,1340,0,0,2,0,3,6,0,2,396,8,Partial,181134
60,7844,Norm,1Fam,2Story,6,7,672,Y,672,728,1400,0,0,1,1,3,6,1,2,440,3,Normal,149500
70,22420,Feedr,1Fam,2Story,6,6,1370,N,1370,1254,2624,1,0,2,1,4,10,1,3,864,11,Normal,239000
50,8160,Norm,1Fam,1.5Fin,5,6,756,N,756,378,1134,1,0,1,1,3,7,0,1,240,4,AdjLand,126000
20,8450,Norm,1Fam,1Story,5,6,1056,Y,1056,0,1056,1,0,1,0,3,6,1,1,304,7,Normal,142000
90,7060,Norm,Duplex,SFoyer,7,5,1344,Y,1344,0,1344,2,0,2,0,2,8,0,4,784,11,Alloca,206300
20,16635,Norm,1Fam,1Story,6,7,1602,Y,1602,0,1602,0,1,2,0,3,8,1,2,529,6,Normal,215000
20,21750,Artery,1Fam,1Story,5,5,988,Y,988,0,988,0,0,1,0,2,4,0,2,520,2,Normal,113000
60,9200,Norm,1Fam,2Story,8,5,1470,Y,1470,1160,2630,1,0,2,1,4,8,1,3,696,6,Normal,315000
20,9000,Norm,1Fam,1Story,6,5,1196,Y,1196,0,1196,1,0,1,0,2,6,1,1,297,5,Normal,139000
60,3378,Norm,1Fam,2Story,7,8,651,Y,707,682,1389,0,0,1,1,3,6,2,1,240,9,Normal,135000
80,12800,Norm,1Fam,SLvl,7,5,1518,Y,1644,0,1644,1,1,2,0,2,5,1,2,569,8,Normal,275000
20,8593,Norm,1Fam,1Story,4,6,907,Y,907,0,907,0,0,1,0,3,5,0,1,352,7,Normal,109008
20,6762,Norm,1Fam,1Story,7,5,1208,Y,1208,0,1208,1,0,2,0,2,6,0,2,628,9,Partial,195400
20,11457,Norm,1Fam,1Story,6,5,1392,Y,1412,0,1412,1,0,2,0,3,6,1,2,576,3,Normal,175000
160,1680,Norm,Twnhs,2Story,6,5,483,Y,483,504,987,0,0,1,1,2,4,0,1,264,7,Abnorml,85400
50,5586,Feedr,1Fam,1.5Fin,6,7,901,Y,1088,110,1198,0,0,1,0,4,7,0,0,0,9,Abnorml,79900
160,1920,Norm,TwnhsE,2Story,5,5,765,Y,765,600,1365,1,0,1,1,2,6,0,2,440,8,Normal,122500
60,10839,Norm,1Fam,2Story,6,5,926,Y,926,678,1604,0,0,2,1,3,7,1,2,470,7,Normal,181000
180,1890,Norm,Twnhs,SFoyer,4,7,630,Y,630,0,630,1,0,1,0,1,3,0,0,0,6,Normal,81000
60,10667,PosN,1Fam,2Story,7,6,799,Y,827,834,1661,1,0,2,1,3,6,1,2,550,4,Normal,212000
